sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
0.9999998807907104,117,850,Estadão,Estadão,2023-07-08,2023-07-08,Aigo: Nova livraria no Bom Retiro terá literatura coreana e de outras comunidades imigrantes de SP,Aigo: Nova livraria no Bom Retiro terá literatura coreana e de outras comunidades imigrantes de SP
0.9110653400421143,118,778,Valor Econômico,Valor Econômico,2018-05-07,2022-11-09,Ascenty planeja investir R$ 1 bi em centros de dados,"Ascenty investe R$ 1,5 bi em cinco centros de dados"
0.987628698348999,160,911,Folha de S. Paulo,Jornal da Cidade de Bauru - JCNET,2021-06-18,2021-06-19,Lugar de mulher é a livraria; veja como elas têm mudado o mercado dos livros e editoras,Mulheres ampliam presença e mudam mercado de livrarias e editoras
0.9974147081375122,170,601,Valor Econômico - Impresso - Flip,Valor Econômico - Impresso,2017-12-08,2017-12-08,Magazine Luiza vai elevar investimento e vê boa demanda,Magazine Luiza vai elevar investimento e vê boa demanda
0.9087505340576172,172,951,Valor Econômico,Estadão,2021-07-27,2021-04-08,"Unicórnio mexicano de venda de carros seminovos, Kavak investe R$ 2,5 bi no Brasil",Startup mexicana de carros usados Kavak atinge valor de US$ 4 bi e mira entrada no Brasil
0.9133845567703247,183,992,Diário do Grande ABC,Guarulhos Web,2021-03-02,2021-03-02,Assaí sobe 386% na B3 e faz GPA despencar,Assaí sobe 386% na B3 e faz GPA despencar
0.9688529968261719,184,2746,Valor Econômico - Impresso - Flip,Valor Econômico,2018-10-17,2018-10-17,He­ring tes­ta for­ma­tos di­fe­ren­tes de lo­jas,Hering testa formatos diferentes de lojas
0.9093296527862549,190,428,Estadão,Estadão,2024-12-17,2024-12-17,Por Aí Don Julio | Por Aí,Por Aí Bacalhau na Padaria Vila Monumento | Por Aí
0.9148313999176025,194,1875,Valor Econômico,Valor Econômico - Impresso - Flip,2016-12-02,2016-12-02,"Distribuidoras de gás terão de investir R$ 12,8 bi em SP",Concessão
0.9048511981964111,199,1792,Jornal da Cidade de Bauru - JCNET,Jornal da Cidade de Bauru - JCNET,2021-03-05,2021-05-22,Começa a duplicação da Jaú-Bocaina,Jaú-Barra começa a ser duplicada
1.0,204,1349,Folha da Região,Guarulhos Web,2017-06-20,2017-06-20,Chinesa BYD firma convênio de R$ 5 milhões com Unicamp,Chinesa BYD firma convênio de R$ 5 milhões com Unicamp
0.9573723077774048,211,1913,A Tribuna,A Tribuna,2016-06-27,2017-01-17,Tiplam inaugura pátio e quer operar grãos e açúcar neste ano,Tiplam realiza primeiro embarque de granel sólido em novo berço
0.959326446056366,219,2856,Estadão,Folha da Região,2017-08-04,2017-08-04,"CPTM inaugura estação da Linha 13-Jade, que irá até Cumbica",CPTM inaugura estação da linha que irá até Cumbica
0.9999999403953552,225,1141,Folha da Região,DCI Online,2019-01-23,2019-01-23,Admissão no varejo é a maior em 4 anos,Admissão no varejo é a maior em 4 anos
0.9117655754089355,275,984,Valor Econômico,Valor Econômico,2018-08-29,2018-08-28,Na mesa,"Carrefour estuda abrir restaurantes no Brasil, diz diretor-presidente"
0.8989988565444946,298,1746,Folha de S. Paulo,Folha da Região,2019-06-02,2019-06-06,Painel S.A.: Mappin estreia site neste mês e prepara loja física,"Mappin volta ao mercado na próxima segunda-feira, mas só no e-commerce"
0.9623058438301086,309,1274,Diário do Grande ABC,Estadão,2018-10-27,2018-10-27,Leroy Merlin cria o 1º 'shopping virtual' do setor de materiais de construção,Leroy Merlin cria o 1º ?shopping virtual? do setor de materiais de construção
0.9007532596588135,337,2039,Jornal de Jundiaí,Jornal de Jundiaí,2021-09-15,2021-09-22,"DAE e Prefeitura reforçam abastecimento, com foco no consumo consciente","Para diminuir perdas de água, DAE realiza troca de 40 mil hidrômetros"
0.9581540822982788,350,1454,Guarulhos Web,Diário do Grande ABC,2021-03-20,2021-03-20,"Eletrobras realiza investimentos de R$ 3,1 bi em 2020, 59% do orçamento","Eletrobras realiza investimentos de R$ 3,1 bi em 2020, 59% do orçamento"
0.9979742169380188,352,1256,Estadão,Diário da Região/São José do Rio Preto,2024-11-28,2024-11-28,Mercadão de SP tem entrega de reforma adiada pela segunda vez; veja o que ainda falta,Mercadão de SP tem entrega de reforma adiada pela 2ª vez; veja o que ainda Falta
